Country;Average life expectancy;Standard of living;Percentage of urban population;Daily caloric intake
Azerbaijan;72.6;0.787;54.1;2603
Armenia;73.8;0.798;64;2240
Vietnam;74.3;0.725;27.3;2698
Indonesia;70.5;0.734;50.4;2434
Iran;71.2;0.782;68;3102
Kazakhstan;68.6;0.804;53.7;3218
Kyrgyzstan;68.4;0.71;34.1;3115
China;72.9;0.772;42.2;2970
Pakistan;66.2;0.572;35.7;2318
Tajikistan;72.2;0.688;26.4;2259
Thailand;68.7;0.783;32.9;2510
Turkey;71.7;0.806;68.2;3354
Philippines;71.6;0.751;64.2;2501
South Korea;79.2;0.937;81.3;3053
Japan;82.7;0.96;66.3;2739
